infinitif, présent, parfait, traduction
fallen, fällt, ist gefallen, tomber
lassen, lässt, hat gelassen, laisser; faire
schlafen, schläft, hat geschlafen, dormir
einladen, lädt...ein, hat eingeladen, inviter
fahren, fährt, ist gefahren, aller (en véhicule)
tragen, trägt, hat getragen, porter
vorschlagen, schlägt...vor, hat vorgeschlagen, proposer
waschen, wäscht, hat gewaschen, laver
laufen, läuft, ist gelaufen, courir; couler(liquide)
essen, isst, hat gegessen, manger (humain)
geben, gibt, hat gegeben, donner
lesen, liest, hat gelesen, lire
sehen, sieht, hat gesehen, voir
helfen, hilft, hat geholfen, aider
nehmen, nimmt,hat genommen, prendre
sprechen, spricht, hat gesprochen, parler
treffen, trifft, hat getroffen, rencontrer; atteindre
gehen, geht, ist gegangen, aller (à pied)
heissen, heisst, hat geheissen, s'appeler; signifier
bleiben, bleibt, ist geblieben, rester
schreiben, schreibt, hat geschrieben, écrire
schreien, schreit, hat geschrien, crier
finden, findet, hat gefunden, trouver
singen, singt, hat gesungen, chanter
trinken, trinkt, hat getrunken, boire
